Date,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind,total_all_fuels
2022-06-07,2090.406503,247577.907089,113411.384489,502109.01691,2241.199943,120346.900901,1675.571231,94712.533605,-1904.086685,326549.480934,1408810.3149200003
2022-06-08,2347.623245,243045.996936,89511.378981,487958.053071,2301.723376,120286.681675,1451.57757,65590.187136,-1850.178421,364115.833074,1374758.876643
2022-06-09,2265.376383,253531.300242,111167.600054,570784.969744,2155.144442,120095.20654,1477.5140940000001,94024.297493,-1890.925445,221378.61617,1374989.099717
2022-06-10,2071.526148,233562.069492,132479.152178,554301.013017,2231.234562,120069.789775,1698.829872,97397.318065,-1906.226237,272115.146317,1414019.8531890002
2022-06-11,2227.698826,227317.432348,103843.891692,494148.60268,1964.81827,120011.479004,1531.865854,100868.540501,-1857.829502,393408.915296,1443465.4149689998
2022-06-12,2002.669774,225611.98894,81511.135801,416545.945805,1957.442196,119940.441571,1628.666248,94022.292375,-1957.679099,515014.015712,1456276.9193230001
2022-06-13,2142.600351,230116.134203,72723.716486,416656.798702,2031.922514,119915.4674,1504.445613,64022.011826,-1904.472467,581564.253764,1488772.8783919998
2022-06-14,2213.001181,225677.123562,69559.199891,392349.150644,2033.627853,119982.592081,1513.503549,73837.03869,-1927.081988,573136.793249,1458374.9487119997
2022-06-15,2018.806222,223064.730083,78024.669916,397896.913862,2348.787552,120046.207439,1920.396502,75013.470631,-2125.448334,547832.078929,1446040.6128020003
2022-06-16,2186.718276,231266.476896,93339.754442,479814.753135,2487.271322,119886.928299,2088.694378,99010.281201,-2202.282059,428429.176334,1456307.772224
2022-06-17,2176.110374,222230.907336,119467.688825,547285.584208,2286.175901,119786.297789,1865.435309,103480.939856,-2234.567087,318355.934474,1434700.5069849999
2022-06-18,2558.9661,224825.74422,97377.56411,557202.215402,3016.81414,119678.903247,1808.74363,102880.452536,-2003.238574,283796.867258,1391143.032069
2022-06-19,2893.257815,221376.637273,84558.389923,520054.992579,2937.801506,119502.301273,1667.713222,101934.637292,-2115.120948,344867.560249,1397678.170184
2022-06-20,2822.16003,232872.723396,108130.526584,540730.64045,3142.168885,119345.378564,1797.712143,94940.200518,-2107.959576,365353.34882,1467026.899814
2022-06-21,2809.287643,234093.624724,148123.346346,574266.128666,2961.282763,119058.624562,1661.914389,98143.872729,-2042.677375,302530.415211,1481605.819658
2022-06-22,2328.634219,224619.365434,189677.663953,612403.080589,2655.927154,119120.806571,1508.424398,98194.315802,-1963.615347,204219.955072,1452764.5578449997
2022-06-23,2298.513582,215581.469193,203803.546557,583839.004499,2316.065016,118988.690072,1617.273238,101108.700251,-2061.027976,246837.657287,1474329.891719
2022-06-24,2450.962585,205391.231483,155859.818529,538337.235766,2242.788166,119029.052704,1854.444023,105451.424551,-2041.370768,358562.507007,1487138.0940460002
2022-06-25,2256.415921,207036.331706,142415.424181,515833.585911,2262.357608,119140.147877,1620.88784,108100.863763,-1862.600443,337916.998281,1434720.412645
2022-06-26,2212.814856,211437.735494,127596.784933,536344.195781,2179.664277,119106.599196,1617.772096,99563.484562,-2144.345062,317282.124596,1415196.830729
2022-06-27,2241.58829,226088.272463,144837.656999,585496.287814,2197.927507,118835.096924,1513.552592,90306.241907,-2098.380658,202773.36539,1372191.609228
2022-06-28,2335.691,218649.564399,147903.570412,588856.248279,2116.590818,118794.251465,1451.277334,87625.012485,-1816.138241,131349.701062,1297265.7690130002
2022-06-29,2190.737219,227387.302342,153347.005052,597657.618847,2102.722596,119478.094015,1592.317545,97167.006375,-1577.83687,112796.053699,1312141.0208199997
2022-06-30,2316.532754,221567.883044,147338.485108,528867.750998,1876.737409,119547.36358,2189.190407,97347.893132,-2692.641525,227799.879436,1346159.074343
2022-07-01,2141.822967,227297.351206,135441.423224,519488.196584,1854.488829,119619.624073,1964.601276,94597.892318,-2351.53535,275424.120023,1375477.98515
2022-07-02,2289.308922,221711.136335,137242.539007,527975.099951,1969.848549,119645.14533,1558.835472,96642.8195,-1859.57724,278742.725407,1385917.8812329997
2022-07-03,2039.310543,217447.736954,109866.762754,523983.596956,2045.49143,119499.727258,1155.721521,95145.486612,-1826.560836,325987.085572,1395344.3587640002
